ID Ciudad Genero Edad Experiencia_Profesional Estrato_Social Estado_Civil Grado_Instruccion Salario
957 Piura Femenino 24 0 2 Divorciado Bachiller 3601
958 Otros Femenino 29 11 1 Viudo Colegio 3119
959 Piura Femenino 24 11 2 Soltero Magister 6891
960 Tumbes Femenino 40 17 1 Casado Bachiller 5116
961 Otros Masculino 19 0 2 Divorciado Colegio 5105
962 Tumbes Femenino 25 1 3 Soltero Magister 9548
963 Tumbes Masculino 35 17 1 Divorciado Colegio 4866
964 Piura Femenino 18 0 2 Viudo Colegio 4829
965 Tumbes Femenino 30 14 1 Divorciado Bachiller 4435
966 Trujillo Masculino 32 0 1 Casado Magister 1557
967 Arequipa Masculino 48 20 1 Soltero Colegio 6490
968 Trujillo Masculino 32 7 1 Casado Doctor 2674
969 Lima Femenino 30 14 1 Casado Colegio 4096
970 Lima Femenino 28 4 2 Soltero Bachiller 7250
971 Lima Masculino 39 10 1 Divorciado Bachiller 3835
972 Tumbes Femenino 32 3 2 Viudo Magister 4951
973 Tumbes Femenino 30 3 3 Soltero Colegio 15402
974 Piura Masculino 32 0 1 Soltero Bachiller 1458
975 Otros Masculino 46 30 1 Soltero Magister 7873
976 Otros Masculino 51 32 1 Viudo Colegio 7782
977 Tumbes Femenino 29 4 3 Casado Magister 11132
978 Lima Femenino 35 9 1 Casado Colegio 3649
979 Otros Masculino 32 10 1 Casado Doctor 3856
980 Tumbes Masculino 54 23 1 Divorciado Magister 6004
981 Otros Femenino 41 26 1 Viudo Colegio 6593
982 Otros Femenino 18 0 2 Viudo Colegio 4181
983 Lima Femenino 31 0 2 Soltero Doctor 4292
984 Otros Masculino 18 0 1 Divorciado Magister 1849
985 Piura Masculino 34 17 1 Soltero Magister 4686
986 Trujillo Femenino 42 13 3 Divorciado Colegio 14125
987 Arequipa Femenino 26 0 3 Soltero Bachiller 10392
988 Piura Femenino 22 4 2 Casado Colegio 8009
989 Tumbes Masculino 48 21 1 Divorciado Magister 6080
990 Arequipa Femenino 25 0 1 Casado Colegio 1112
991 Otros Femenino 44 24 1 Viudo Colegio 6855
992 Arequipa Femenino 37 9 1 Divorciado Bachiller 3202
993 Trujillo Femenino 44 25 1 Viudo Bachiller 6456
994 Arequipa Masculino 45 17 2 Divorciado Bachiller 10704
995 Arequipa Femenino 46 26 1 Divorciado Colegio 6504
996 Otros Femenino 47 24 2 Soltero Colegio 12112
997 Lima Femenino 38 18 1 Divorciado Magister 4908
998 Otros Femenino 37 9 1 Casado Colegio 3367
999 Lima Femenino 25 1 1 Casado Colegio 1435
1000 Otros Femenino 23 0 1 Divorciado Magister 1262
